,Marital status,Course,Daytime/evening attendance,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Gender,Scholarship holder,Age at enrollment,Target
32,1,9,1,1,1,1,5,7,1,0,18,Enrolled
33,1,3,0,1,13,1,10,6,0,0,19,Graduate
34,1,17,0,1,2,27,4,10,1,0,34,Graduate
35,1,1,1,1,23,27,10,7,1,0,37,Dropout
36,1,7,1,1,19,27,1,1,1,0,43,Dropout
37,1,9,1,1,22,27,7,7,0,0,55,Dropout
38,4,17,0,1,13,14,10,4,0,0,39,Graduate
39,1,8,1,3,4,4,4,7,0,0,20,Dropout
40,1,15,1,1,3,3,3,3,0,0,18,Dropout
41,1,9,1,1,3,14,3,8,0,0,22,Graduate
42,1,12,1,1,1,3,3,3,0,0,22,Graduate
43,1,15,1,1,1,28,6,6,0,0,20,Dropout
44,1,17,0,1,22,27,10,10,0,0,29,Dropout
45,1,17,0,1,23,28,5,6,0,0,24,Enrolled
46,1,10,1,1,13,14,10,10,0,0,18,Graduate
47,1,12,1,1,22,14,8,8,0,1,22,Graduate
48,1,3,0,1,1,14,10,10,0,1,21,Graduate
49,1,10,1,1,22,28,10,10,0,1,19,Graduate
50,1,11,1,1,13,28,10,8,0,1,24,Graduate
51,1,12,1,1,22,28,7,7,0,1,19,Enrolled
52,1,15,1,1,1,14,8,8,0,1,20,Enrolled
53,1,8,1,1,22,27,12,12,0,0,19,Graduate
54,1,17,0,1,23,28,10,10,0,0,27,Dropout
55,1,12,1,1,1,14,6,6,0,0,18,Graduate
56,2,11,1,1,1,3,5,4,0,0,39,Dropout
57,1,8,1,1,3,3,3,3,0,0,27,Dropout
58,1,12,1,1,23,28,8,11,0,0,18,Graduate
59,1,2,1,1,23,27,5,10,0,0,18,Enrolled
60,1,12,1,1,13,14,10,10,0,0,18,Graduate
61,1,10,1,1,13,1,10,10,0,1,21,Graduate
62,1,2,1,1,1,27,5,8,1,1,19,Enrolled
63,1,5,1,1,1,1,4,5,1,0,19,Enrolled
64,1,5,1,1,1,1,4,4,1,0,24,Enrolled
65,4,12,1,1,1,1,6,6,1,0,29,Dropout
66,1,2,1,1,13,14,6,4,1,1,19,Graduate
67,1,4,1,1,13,27,10,10,1,0,23,Graduate
68,1,9,1,1,1,28,8,8,1,0,19,Dropout
69,1,11,1,1,13,27,8,11,1,0,26,Enrolled
70,1,9,1,1,23,27,6,6,1,0,18,Enrolled
71,1,12,1,1,22,14,9,5,1,0,24,Graduate
72,1,2,1,1,13,14,6,11,1,0,19,Dropout
73,1,11,1,1,23,27,6,8,1,0,18,Dropout
74,1,15,1,1,23,28,10,10,1,0,18,Graduate
75,1,9,1,1,13,14,5,8,1,0,18,Dropout
76,1,11,1,1,13,27,8,8,1,1,21,Dropout
77,1,15,1,1,1,14,10,9,1,1,19,Graduate
78,1,12,1,1,23,27,10,10,1,1,22,Graduate
79,2,3,0,1,22,27,10,7,1,0,33,Graduate
80,1,16,1,1,13,14,10,10,1,0,20,Dropout
81,1,17,0,1,3,3,3,3,1,0,35,Dropout
82,1,4,1,1,3,3,5,3,1,0,24,Dropout
83,1,11,1,1,13,14,5,5,1,0,18,Enrolled
84,2,3,0,1,22,27,10,7,0,0,33,Graduate
85,1,12,1,1,22,28,10,8,0,1,22,Graduate
86,1,14,1,1,1,14,5,6,0,1,25,Graduate
87,1,5,1,1,13,28,5,1,1,0,20,Graduate
88,1,9,1,1,23,27,10,10,1,0,23,Enrolled
89,1,7,1,1,23,14,10,7,1,0,18,Enrolled
90,1,12,1,1,1,1,5,11,1,0,24,Dropout
91,1,15,1,14,13,1,10,10,0,0,21,Graduate
92,1,8,1,14,1,1,5,5,0,0,26,Dropout
93,2,16,1,1,22,24,1,1,0,0,39,Dropout
94,2,3,0,1,22,14,10,10,0,0,44,Graduate
95,1,7,1,12,23,3,10,3,1,0,19,Enrolled
96,1,15,1,1,22,1,6,6,0,0,18,Graduate
97,1,12,1,1,22,27,8,8,0,1,18,Graduate
98,1,6,1,1,1,2,10,2,0,0,19,Enrolled
99,1,12,1,1,3,3,3,3,0,0,19,Dropout
100,1,6,1,1,23,28,10,10,0,0,21,Dropout
101,1,2,1,1,1,1,10,11,0,0,20,Graduate
102,2,3,0,1,22,27,7,6,0,0,36,Dropout
103,4,4,1,1,22,27,10,7,0,0,43,Graduate
104,1,16,1,1,13,14,10,8,0,0,19,Dropout
105,1,5,1,1,3,1,3,9,0,0,20,Graduate
106,1,10,1,1,22,28,5,8,0,0,19,Dropout
107,1,6,1,1,1,1,5,5,0,0,20,Dropout
108,1,12,1,1,3,4,5,4,0,0,20,Dropout
109,1,16,1,1,13,1,10,4,0,0,20,Enrolled
110,1,10,1,1,22,27,7,8,0,0,18,Graduate
111,1,9,1,1,1,28,5,8,0,1,18,Enrolled
112,1,6,1,1,13,14,10,10,0,0,19,Graduate
113,1,15,1,1,1,28,5,8,0,0,18,Graduate
114,1,12,1,1,22,27,10,10,0,0,18,Dropout
115,1,12,1,1,23,28,10,6,0,0,20,Enrolled
116,1,10,1,1,13,27,10,8,0,1,20,Enrolled
117,1,9,1,1,13,14,4,4,0,0,20,Enrolled
118,1,6,1,1,22,28,10,8,0,0,18,Graduate
119,1,9,1,1,2,14,5,6,0,0,18,Graduate
120,1,11,1,1,1,1,5,6,0,0,21,Dropout
121,1,9,1,1,13,14,10,8,0,0,19,Graduate
122,1,2,1,1,3,14,3,10,0,0,19,Dropout
123,1,14,1,1,23,28,10,10,0,1,19,Graduate
124,1,6,1,1,13,28,5,8,0,0,19,Graduate
125,1,13,1,1,1,1,5,6,0,0,19,Dropout
126,1,6,1,1,22,27,10,10,0,0,20,Graduate
127,1,16,1,1,13,28,10,4,0,1,18,Enrolled
128,1,10,1,1,1,29,6,4,0,0,18,Graduate
129,1,12,1,1,1,27,9,10,0,0,19,Graduate
130,1,12,1,1,13,14,6,9,0,1,18,Dropout
131,1,5,1,1,22,27,10,10,0,0,18,Graduate
132,1,9,1,1,1,14,5,9,0,0,19,Graduate
133,1,12,1,1,1,14,4,4,0,0,19,Dropout
134,1,10,1,1,23,27,10,8,0,0,20,Graduate
135,1,14,1,1,1,28,4,10,0,1,19,Dropout
136,1,14,1,1,13,14,6,6,0,0,20,Graduate
137,1,15,1,1,1,1,20,39,0,1,18,Graduate
138,1,12,1,1,13,1,5,8,0,1,20,Enrolled
139,1,12,1,1,13,1,5,9,0,0,18,Graduate
140,1,12,1,1,22,27,10,10,0,0,19,Graduate
141,1,15,1,1,13,1,5,5,0,1,19,Graduate
142,1,9,1,1,3,1,4,4,0,0,22,Enrolled
143,1,10,1,1,1,10,10,11,0,1,19,Graduate
144,1,12,1,1,13,14,10,8,0,1,19,Graduate
145,1,16,1,1,22,28,6,7,0,1,19,Graduate
146,1,11,1,1,10,14,10,10,0,0,19,Dropout
147,1,11,1,1,1,27,10,11,0,0,20,Dropout
148,1,9,1,1,3,14,3,11,0,0,18,Graduate
149,1,12,1,1,1,14,10,10,0,1,20,Graduate
150,1,2,1,1,3,27,3,9,0,0,18,Enrolled
151,1,6,1,1,1,28,5,8,0,0,19,Graduate
152,1,16,1,1,23,28,8,7,0,0,18,Enrolled
153,1,16,1,1,22,27,10,10,0,0,18,Graduate
154,1,16,1,1,3,27,3,6,0,0,21,Dropout
155,1,16,1,1,23,27,7,7,0,0,19,Dropout
156,1,9,1,1,23,28,10,10,0,1,18,Graduate
157,1,10,1,1,1,27,8,10,0,1,18,Graduate
158,1,10,1,1,13,1,10,11,0,0,20,Graduate
159,1,3,0,1,1,14,7,9,0,1,24,Graduate
160,1,14,1,1,13,1,5,2,0,0,19,Dropout
161,1,12,1,1,13,27,10,8,0,1,18,Graduate
162,1,12,1,1,13,14,10,10,0,0,18,Graduate
163,1,16,1,1,10,10,5,5,0,0,21,Dropout
164,1,14,1,1,1,14,6,5,0,0,19,Graduate
165,1,15,1,1,13,27,8,8,0,1,19,Graduate
166,3,4,1,1,1,27,7,7,0,0,47,Enrolled
167,1,10,1,1,13,14,8,9,0,0,19,Graduate
168,1,12,1,1,2,2,2,2,0,0,29,Graduate
169,1,10,1,1,13,14,5,9,0,0,21,Dropout
170,1,6,1,1,22,14,10,8,0,0,28,Enrolled
171,1,13,1,1,22,27,4,11,0,0,20,Graduate
172,1,12,1,1,2,28,5,6,0,0,19,Graduate
173,1,3,0,1,13,2,5,7,0,0,26,Graduate
174,1,11,1,1,22,27,10,9,0,0,20,Dropout
175,1,14,1,1,22,27,10,10,0,1,18,Enrolled
176,1,16,1,1,22,14,10,6,0,0,27,Graduate
177,1,12,1,1,19,24,12,12,0,0,20,Dropout
178,1,16,1,1,22,14,10,6,0,0,18,Dropout
179,1,12,1,1,1,1,10,6,0,0,33,Dropout
180,1,16,1,1,3,1,4,4,0,0,35,Graduate
181,1,17,0,1,22,14,10,9,0,1,26,Enrolled
182,1,15,1,1,13,14,4,5,0,0,27,Dropout
183,1,5,1,1,1,27,6,6,0,0,19,Dropout
184,1,11,1,1,1,14,5,7,0,0,20,Dropout
185,1,9,1,1,3,3,6,8,0,0,20,Dropout
186,1,10,1,1,1,27,6,10,0,0,21,Enrolled
187,1,12,1,1,23,1,10,5,0,1,18,Graduate
188,1,6,1,1,1,14,10,10,0,0,24,Dropout
189,1,5,1,1,1,3,5,2,0,0,20,Graduate
190,1,11,1,1,13,28,10,9,0,1,21,Graduate
191,1,3,0,1,1,27,8,4,0,0,23,Enrolled
192,1,9,1,1,10,3,5,4,0,0,24,Dropout
193,1,16,1,1,1,1,5,11,0,0,21,Dropout
194,1,12,1,1,23,28,10,9,0,0,18,Graduate
195,1,17,0,1,13,1,4,5,0,0,27,Dropout
196,1,12,1,1,22,27,6,6,0,0,18,Graduate
197,1,7,1,1,3,2,3,3,0,0,35,Dropout
198,1,16,1,1,13,14,4,9,0,0,18,Graduate
199,1,12,1,1,1,3,28,19,0,0,35,Enrolled
200,1,6,1,1,1,1,5,8,0,0,19,Graduate
201,1,10,1,1,13,14,5,1,0,0,20,Graduate
202,1,12,1,1,13,14,8,8,0,0,18,Graduate
203,1,10,1,1,23,28,6,11,0,0,21,Graduate
204,1,10,1,1,13,27,10,9,0,1,18,Graduate
205,1,10,1,1,19,24,1,1,0,0,18,Graduate
206,1,12,1,1,13,28,10,10,0,0,18,Graduate
207,1,15,1,1,3,14,2,5,0,1,18,Graduate
208,1,6,1,1,13,1,9,8,0,0,19,Graduate
209,1,11,1,1,3,14,3,4,0,1,36,Dropout
210,1,12,1,1,23,1,8,5,0,1,18,Graduate
211,1,12,1,1,22,27,10,10,0,1,18,Graduate
212,1,8,1,1,1,3,10,3,0,1,20,Graduate
213,1,17,0,1,22,27,10,10,0,1,26,Dropout
214,1,15,1,1,1,1,5,6,0,0,21,Graduate
215,1,13,1,1,1,1,5,6,0,0,25,Enrolled
216,1,9,1,1,13,3,6,6,0,1,19,Graduate
217,1,3,0,1,13,27,9,8,0,0,24,Dropout
218,1,3,0,1,1,14,6,5,0,1,27,Dropout
219,1,6,1,1,13,27,2,4,0,0,21,Dropout
220,1,9,1,1,23,28,8,8,0,1,18,Graduate
221,2,16,1,1,22,27,6,8,0,1,19,Graduate
222,1,11,1,1,1,1,4,4,0,0,18,Dropout
223,1,12,1,1,13,1,6,10,0,1,19,Graduate
224,1,12,1,1,1,28,5,6,0,1,19,Graduate
225,2,17,0,1,25,5,4,4,0,0,33,Graduate
226,2,9,1,1,1,4,4,11,0,0,45,Graduate
227,1,10,1,1,1,1,10,10,0,1,20,Graduate
228,1,14,1,1,19,24,1,1,0,0,28,Dropout
229,1,12,1,1,1,1,6,9,0,1,19,Graduate
230,1,11,1,1,1,27,5,6,0,0,18,Graduate
231,1,11,1,1,13,14,5,7,0,0,38,Dropout
232,1,14,1,1,1,3,5,4,0,0,19,Graduate
233,1,11,1,1,1,27,10,10,0,1,21,Graduate
234,1,9,1,1,22,1,10,11,0,0,21,Dropout
235,1,10,1,1,23,27,10,10,0,1,22,Graduate
236,1,16,1,1,13,14,6,8,0,1,18,Graduate
237,1,10,1,1,22,27,4,10,0,1,18,Graduate
238,1,8,1,1,13,1,10,10,0,0,25,Dropout
239,1,6,1,1,13,14,10,8,0,0,24,Dropout
240,1,12,1,1,3,1,5,5,0,0,19,Enrolled
241,1,2,1,1,3,3,4,4,0,0,24,Enrolled
242,1,9,1,1,22,14,6,6,0,1,20,Graduate
243,1,9,1,1,22,1,10,2,0,0,25,Dropout
244,1,9,1,1,23,14,10,11,0,1,20,Graduate
245,1,12,1,1,13,28,6,4,0,0,23,Graduate
246,1,12,1,1,13,27,8,7,0,1,19,Graduate
247,1,4,1,1,22,27,10,11,0,0,29,Dropout
248,1,11,1,1,13,27,5,8,0,0,21,Graduate
249,1,14,1,1,13,1,10,9,0,1,18,Graduate
250,1,5,1,1,13,28,10,10,0,0,19,Enrolled
251,1,15,1,1,23,27,8,8,0,1,18,Dropout
252,1,6,1,1,7,14,12,7,0,0,19,Graduate
253,1,15,1,1,22,27,10,9,0,0,18,Enrolled
254,1,9,1,1,1,1,5,5,0,0,18,Graduate
255,2,13,1,1,23,27,8,8,0,1,37,Dropout
256,1,17,0,1,22,27,7,7,0,0,29,Graduate
257,1,5,1,1,22,27,10,10,0,0,18,Enrolled
258,1,10,1,1,1,1,10,9,0,1,19,Graduate
259,1,10,1,1,1,1,4,2,0,0,22,Dropout
260,1,11,1,1,22,28,10,8,0,1,20,Graduate
261,1,3,0,1,22,27,13,13,0,0,34,Dropout
262,1,7,1,1,22,28,10,10,0,0,30,Dropout
263,1,10,1,1,1,1,5,5,0,0,18,Graduate
264,1,10,1,1,23,14,10,6,0,0,18,Graduate
265,1,15,1,1,3,1,2,4,0,0,18,Graduate
266,1,12,1,1,4,1,3,4,0,0,18,Graduate
267,1,15,1,1,23,28,10,10,0,1,19,Graduate
268,1,5,1,1,22,27,10,10,0,1,19,Graduate
269,1,12,1,1,1,1,10,10,0,1,18,Graduate
270,1,4,1,1,22,28,5,9,0,1,21,Graduate
271,1,9,1,1,1,14,10,10,0,0,20,Dropout
272,1,9,1,1,10,14,5,9,0,0,20,Graduate
273,1,12,1,1,5,1,3,6,0,0,19,Graduate
274,1,10,1,1,1,28,5,6,0,0,20,Graduate
275,1,12,1,1,10,1,5,11,0,0,18,Graduate
276,1,16,1,1,22,28,4,4,0,0,20,Dropout
277,2,8,1,1,5,4,3,1,0,0,29,Dropout
278,1,12,1,1,13,14,6,7,0,1,18,Enrolled
279,1,12,1,1,13,14,6,6,0,1,20,Graduate
280,1,9,1,1,23,27,10,10,0,1,22,Graduate
281,4,3,0,1,24,14,5,11,0,1,47,Graduate
282,2,17,0,1,22,27,9,5,0,0,31,Graduate
283,1,5,1,1,13,27,8,6,0,1,21,Graduate
284,1,3,0,1,23,28,1,1,0,0,21,Graduate
285,2,15,1,1,1,1,5,5,0,0,24,Graduate
286,1,5,1,1,4,27,3,10,0,0,18,Enrolled
287,1,3,0,1,19,1,12,3,0,0,32,Graduate
288,1,3,0,1,3,1,4,5,0,1,19,Graduate
289,1,12,1,1,3,3,2,2,0,0,24,Graduate
290,1,6,1,1,13,14,5,11,0,0,19,Graduate
291,1,4,1,1,13,27,7,7,0,1,19,Graduate
292,1,4,1,1,22,27,10,5,0,0,24,Enrolled
293,1,10,1,1,13,14,29,29,0,1,18,Graduate
294,1,5,1,1,23,27,4,7,0,1,19,Dropout
295,2,12,1,1,3,28,3,5,0,1,19,Graduate
296,1,15,1,1,13,28,10,9,0,1,18,Graduate
297,1,10,1,1,1,1,4,4,0,0,18,Graduate
298,1,13,1,1,1,1,5,11,0,0,20,Graduate
299,1,12,1,1,13,28,6,8,0,0,18,Graduate
300,1,14,1,1,23,28,10,8,0,0,18,Graduate
301,1,6,1,1,23,27,10,10,0,1,21,Graduate
302,1,12,1,1,13,14,5,10,0,1,18,Graduate
303,1,14,1,1,13,14,6,6,0,0,18,Dropout
304,1,10,1,1,1,9,5,4,0,0,19,Dropout
305,1,14,1,1,1,14,5,11,0,0,19,Enrolled
306,1,14,1,1,1,14,6,6,0,0,18,Graduate
307,1,8,1,1,3,1,12,12,0,0,34,Dropout
308,1,6,1,1,9,9,12,12,0,0,19,Graduate
309,1,8,1,1,22,27,8,9,0,0,19,Dropout
310,1,10,1,1,3,14,3,2,0,0,26,Graduate
311,1,16,1,1,19,24,1,1,0,0,21,Dropout
312,1,9,1,1,13,14,5,9,0,1,18,Graduate
313,1,16,1,1,23,28,6,8,0,1,20,Graduate
314,1,9,1,1,1,1,5,5,0,0,25,Dropout
315,1,9,1,1,1,28,5,4,0,0,18,Graduate
316,1,12,1,1,13,14,4,7,0,1,18,Graduate
317,1,12,1,1,26,14,4,6,0,0,19,Graduate
318,1,10,1,1,13,28,6,10,0,1,18,Graduate
319,1,12,1,1,23,28,8,8,0,0,20,Enrolled
320,1,6,1,1,13,14,10,6,0,0,26,Dropout
321,1,12,1,1,22,27,8,10,0,1,19,Graduate
322,1,12,1,1,1,1,6,2,0,0,19,Graduate
323,1,9,1,1,22,27,10,10,0,0,19,Graduate
324,1,6,1,1,1,14,8,6,0,0,19,Enrolled
325,1,11,1,1,13,14,6,9,0,0,18,Graduate
326,1,12,1,1,1,27,10,10,0,0,19,Graduate
327,1,10,1,1,1,1,10,7,0,0,18,Graduate
328,1,16,1,1,2,14,5,5,0,0,18,Enrolled
329,1,6,1,1,13,28,10,6,0,0,18,Enrolled
330,1,16,1,1,1,28,10,7,0,0,18,Enrolled
331,1,7,1,1,13,27,5,8,0,0,26,Dropout
332,1,10,1,1,23,28,8,8,0,0,20,Graduate
333,1,3,0,1,22,28,10,11,0,0,19,Graduate
334,1,10,1,1,19,27,5,10,0,1,18,Graduate
335,1,10,1,1,23,27,8,8,0,0,19,Graduate
336,1,16,1,1,26,3,3,2,0,0,40,Graduate
337,1,12,1,1,23,28,8,8,0,1,18,Graduate
338,1,10,1,1,3,1,10,11,0,0,19,Graduate
339,1,8,1,1,2,7,4,6,0,0,18,Graduate
340,1,6,1,1,1,2,4,2,0,0,19,Enrolled
341,1,2,1,1,3,3,3,3,0,0,18,Dropout
342,2,3,0,1,22,27,10,10,0,0,33,Graduate
343,1,4,1,1,3,3,2,3,0,0,35,Graduate
344,1,9,1,1,22,28,10,2,0,0,26,Enrolled
345,1,15,1,1,13,14,8,6,0,0,18,Graduate
346,1,10,1,1,22,27,10,10,0,0,36,Enrolled
347,4,17,0,1,22,27,7,7,0,0,39,Graduate
348,2,10,1,1,22,27,10,10,0,0,44,Graduate
349,1,3,0,1,3,1,4,10,0,0,20,Enrolled
350,1,11,1,1,13,14,10,10,0,0,24,Dropout
351,1,15,1,1,13,14,10,9,0,1,20,Graduate
352,1,2,1,1,1,1,10,6,0,0,19,Dropout
353,2,12,1,1,22,28,10,8,0,1,18,Graduate
354,1,11,1,1,13,14,5,7,0,0,22,Dropout
355,1,6,1,1,13,1,5,6,0,0,18,Graduate
356,1,12,1,1,23,27,10,10,0,0,24,Graduate
357,1,17,0,1,22,27,12,9,0,0,33,Dropout
358,1,4,1,1,22,27,4,9,0,1,30,Enrolled
359,1,6,1,1,3,29,3,4,0,0,26,Dropout
360,1,16,1,1,13,28,5,2,0,0,18,Graduate
361,1,15,1,1,22,28,10,8,0,0,19,Dropout
362,1,9,1,1,13,28,10,11,0,0,20,Enrolled
363,1,6,1,1,13,27,10,9,0,1,22,Graduate
364,1,12,1,1,1,1,10,2,0,0,19,Enrolled
365,1,6,1,1,22,28,8,6,0,1,21,Graduate
366,1,12,1,1,13,28,5,9,0,1,21,Graduate
367,1,6,1,1,13,27,3,8,0,0,19,Enrolled
368,1,16,1,1,23,27,29,46,0,1,19,Graduate
369,1,12,1,1,13,14,10,6,0,0,18,Dropout
370,2,3,0,1,22,29,10,5,0,0,50,Graduate
371,4,17,0,1,23,14,10,8,0,1,31,Enrolled
372,1,15,1,1,1,14,5,8,0,1,19,Graduate
373,4,17,0,1,1,27,20,43,0,0,35,Graduate
374,2,6,1,1,23,28,5,8,0,0,31,Dropout
375,2,3,0,1,22,27,10,10,0,0,42,Enrolled
376,1,9,1,1,22,27,10,10,0,0,34,Dropout
377,1,12,1,1,1,1,5,5,0,1,18,Graduate
378,1,16,1,1,3,3,4,4,0,1,18,Enrolled
379,1,6,1,1,22,28,6,7,0,0,21,Enrolled
380,4,12,1,1,23,14,6,8,0,1,26,Dropout
381,1,12,1,1,13,27,9,9,0,0,20,Enrolled
382,1,10,1,1,23,28,6,8,0,0,19,Enrolled
383,1,16,1,1,13,14,6,6,0,1,19,Graduate
384,1,9,1,1,3,4,3,2,0,0,20,Graduate
385,1,10,1,1,19,24,1,1,0,0,19,Graduate
386,1,16,1,1,22,27,10,10,0,0,18,Graduate
387,1,17,0,1,22,27,10,10,0,0,28,Graduate
388,1,16,1,1,1,14,5,6,0,0,22,Enrolled
389,1,3,0,1,22,27,8,8,0,1,21,Graduate
390,1,6,1,1,4,28,5,6,0,0,21,Enrolled
391,1,12,1,1,1,14,6,4,0,0,26,Enrolled
392,1,15,1,1,18,27,8,8,0,0,18,Dropout
393,1,6,1,1,1,1,10,11,0,0,20,Dropout
394,1,6,1,1,1,14,5,4,0,0,18,Graduate
395,1,12,1,1,1,1,5,10,0,1,19,Graduate
396,1,10,1,1,3,14,4,11,0,0,20,Graduate
397,1,6,1,1,23,27,5,7,0,1,22,Graduate
398,1,14,1,1,22,14,6,9,0,0,18,Dropout
399,1,9,1,1,23,27,7,5,0,0,19,Dropout
400,1,5,1,1,1,3,4,4,0,1,18,Enrolled
401,1,11,1,1,22,27,8,8,0,0,20,Enrolled
402,1,15,1,1,23,27,10,10,0,0,19,Enrolled
403,1,11,1,1,13,28,10,10,0,0,19,Enrolled
404,1,12,1,1,22,27,6,6,0,0,19,Graduate
405,1,2,1,1,1,14,4,10,0,0,18,Graduate
406,1,5,1,1,1,14,4,10,0,0,21,Graduate
407,1,17,0,1,1,14,10,10,0,0,27,Graduate
408,1,10,1,1,1,14,5,5,0,0,19,Graduate
409,4,6,1,1,19,24,1,1,0,0,25,Dropout
410,1,12,1,1,13,14,8,8,0,1,18,Graduate
411,1,12,1,1,13,1,5,9,0,0,24,Graduate
412,1,12,1,1,1,1,5,11,0,0,20,Graduate
413,1,17,0,1,22,27,7,7,0,0,26,Graduate
414,1,10,1,1,1,28,10,8,0,1,20,Graduate
415,1,6,1,1,22,27,12,12,0,0,18,Graduate
416,1,6,1,1,1,1,10,10,0,0,19,Graduate
417,1,16,1,1,13,14,10,10,0,0,23,Dropout
418,1,12,1,1,22,27,10,10,0,1,18,Graduate
419,1,12,1,1,1,14,5,6,0,0,18,Dropout
420,1,12,1,1,2,1,3,9,0,1,19,Graduate
421,1,17,0,1,1,2,5,4,0,0,30,Graduate
422,1,6,1,1,1,2,5,7,0,0,29,Dropout
423,1,12,1,1,3,1,4,4,0,0,19,Graduate
424,1,13,1,1,13,2,6,4,0,0,20,Graduate
425,1,12,1,1,22,27,10,4,0,0,20,Graduate
426,1,14,1,1,23,28,4,8,0,0,19,Graduate
427,1,9,1,1,23,2,10,3,0,0,20,Enrolled
428,3,6,1,1,13,1,5,5,0,0,21,Dropout
429,1,14,1,1,13,28,5,11,0,0,19,Graduate
430,1,12,1,1,22,28,10,10,0,1,18,Graduate
431,1,3,0,1,22,27,8,9,0,1,27,Graduate
432,1,9,1,1,23,28,7,9,0,1,19,Graduate
433,1,12,1,1,1,1,12,4,0,1,19,Dropout
434,1,15,1,1,1,14,5,9,0,0,19,Graduate
435,1,12,1,1,13,14,6,6,0,1,18,Graduate
436,1,11,1,1,13,14,6,6,0,1,20,Enrolled
437,1,14,1,1,13,27,5,6,0,1,18,Graduate
438,1,14,1,1,7,1,3,5,0,0,19,Dropout
439,2,12,1,1,22,27,10,10,0,0,36,Graduate
440,1,13,1,1,3,4,4,3,0,0,18,Enrolled
441,1,8,1,1,13,28,5,6,0,0,18,Enrolled
442,1,12,1,1,13,28,10,4,0,0,19,Graduate
443,1,12,1,1,13,14,8,9,0,1,18,Graduate
444,1,14,1,1,13,14,2,2,0,0,18,Graduate
445,1,10,1,1,22,14,10,4,0,1,19,Graduate
446,1,12,1,1,3,1,3,2,0,1,19,Graduate
447,1,12,1,1,1,14,8,8,0,0,18,Dropout
448,1,15,1,1,1,14,10,8,0,0,20,Graduate
449,1,11,1,1,13,28,4,11,0,1,20,Enrolled
450,1,12,1,1,23,27,6,6,0,0,20,Graduate
451,1,12,1,1,22,27,10,9,0,1,18,Graduate
452,1,12,1,1,13,14,8,6,0,0,18,Graduate
453,1,6,1,1,13,27,5,8,0,0,19,Graduate
454,1,9,1,1,13,28,10,8,0,0,19,Enrolled
455,2,3,0,1,19,24,13,13,0,0,44,Graduate
456,1,4,1,1,23,27,6,7,0,0,32,Dropout
457,1,16,1,1,22,14,10,9,0,0,22,Dropout
458,2,4,1,1,1,14,5,10,0,0,36,Graduate
459,1,15,1,1,22,27,6,8,0,1,18,Graduate
460,1,8,1,1,3,3,4,3,0,0,20,Graduate
461,1,5,1,1,13,14,6,8,0,1,20,Graduate
462,1,10,1,1,3,1,3,4,0,0,19,Graduate
463,1,9,1,1,3,1,4,6,0,0,24,Graduate
464,1,10,1,1,1,1,5,10,0,0,20,Enrolled
465,1,3,0,1,3,3,3,4,0,0,27,Dropout
466,1,16,1,1,1,28,6,11,0,0,20,Enrolled
467,1,10,1,1,19,24,1,1,0,1,23,Graduate
468,1,12,1,1,13,28,5,9,0,1,18,Graduate
469,1,10,1,1,22,27,5,10,0,1,18,Graduate
470,1,12,1,1,1,27,10,10,0,1,20,Graduate
471,1,11,1,1,13,28,10,8,0,1,20,Graduate
472,1,14,1,1,23,14,8,11,0,0,23,Dropout
473,1,12,1,1,13,14,10,10,0,0,20,Graduate
