Curricular units 2nd sem (grade),Curricular units 1st sem (grade),Target
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Enrolled
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Dropout
0,0,Graduate
0,0,Graduate
0,0,Dropout
0,0,Graduate
0,0,Dropout
0,0,Dropout
0,0,Enrolled
0,0,Dropout
10,0,Dropout
10,0,Dropout
10,0,Dropout
10,0,Dropout
10,0,Enrolled
10,0,Dropout
10,0,Dropout
10,0,Dropout
10,0,Dropout
10,0,Enrolled
10,0,Dropout
10,0,Enrolled
10.5,0,Enrolled
11,0,Dropout
11,0,Enrolled
11,0,Enrolled
11,0,Dropout
11,0,Enrolled
11.5,0,Dropout
11.5,0,Dropout
11.66666667,0,Enrolled
11.66666667,0,Enrolled
11.66666667,0,Enrolled
11.66666667,0,Enrolled
12,0,Dropout
12,0,Dropout
12,0,Dropout
12,0,Dropout
12,0,Dropout
12.28571429,0,Graduate
12.5,0,Dropout
13.15,0,Dropout
13.25,0,Enrolled
13.33333333,0,Enrolled
13.5,0,Dropout
13.75,0,Graduate
14,0,Dropout
14,0,Dropout
14.5,0,Dropout
14.75,0,Enrolled
15,0,Enrolled
16,0,Enrolled
0,9.8,Dropout
0,10,Enrolled
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Dropout
0,10,Enrolled
0,10,Dropout
0,10,Dropout
10,10,Enrolled
10,10,Enrolled
10,10,Dropout
10,10,Dropout
10,10,Dropout
10,10,Dropout
10,10,Dropout
10,10,Dropout
10,10,Enrolled
10,10,Dropout
10.33333333,10,Enrolled
10.57142857,10,Dropout
10.75,10,Enrolled
10.8,10,Enrolled
11,10,Dropout
11,10,Dropout
11,10,Dropout
11,10,Dropout
11,10,Enrolled
11,10,Dropout
11,10,Dropout
11,10,Dropout
11,10,Enrolled
11.33333333,10,Dropout
11.33333333,10,Dropout
11.33333333,10,Enrolled
11.33333333,10,Enrolled
11.33333333,10,Dropout
11.4,10,Enrolled
11.75,10,Enrolled
12,10,Dropout
12,10,Enrolled
12,10,Dropout
12,10,Dropout
12,10,Enrolled
12,10,Enrolled
12,10,Dropout
12,10,Dropout
12.25,10,Dropout
12.33333333,10,Dropout
12.4,10,Graduate
12.5,10,Enrolled
13,10,Dropout
13,10,Dropout
13,10,Enrolled
13,10,Dropout
13,10,Enrolled
13.5,10,Enrolled
13.66666667,10,Dropout
14,10,Dropout
15,10,Dropout
16,10,Dropout
16,10,Enrolled
10.5,10.16666667,Graduate
10.5,10.2,Graduate
11,10.2,Enrolled
11.2,10.2,Enrolled
11.25,10.2,Enrolled
11.25,10.2,Graduate
12,10.2,Enrolled
12.2,10.2,Graduate
12.25,10.2,Enrolled
11.38461538,10.21428571,Graduate
10.25,10.25,Dropout
10.71428571,10.25,Graduate
11.2,10.25,Dropout
11.25,10.25,Dropout
11.25,10.25,Dropout
12,10.25,Dropout
13,10.25,Dropout
10.6,10.28571429,Dropout
10,10.33333333,Dropout
10.33333333,10.33333333,Enrolled
10.33333333,10.33333333,Enrolled
10.66666667,10.33333333,Enrolled
10.85714286,10.33333333,Dropout
11,10.33333333,Enrolled
11,10.33333333,Dropout
11,10.33333333,Dropout
11.5,10.33333333,Graduate
11.8,10.33333333,Enrolled
12,10.33333333,Dropout
12.8,10.33333333,Graduate
12.8,10.33333333,Enrolled
13,10.33333333,Enrolled
13.33333333,10.33333333,Enrolled
14.42857143,10.33333333,Enrolled
11.5,10.36842105,Graduate
10.44444444,10.375,Enrolled
11.66666667,10.375,Enrolled
0,10.4,Dropout
10.66666667,10.4,Graduate
10.75,10.4,Enrolled
12,10.4,Graduate
10.92307692,10.46666667,Graduate
0,10.5,Dropout
0,10.5,Dropout
0,10.5,Dropout
0,10.5,Dropout
0,10.5,Dropout
0,10.5,Dropout
0,10.5,Dropout
0,10.5,Dropout
0,10.5,Dropout
0,10.5,Dropout
0,10.5,Dropout
10,10.5,Enrolled
10,10.5,Dropout
10,10.5,Dropout
10.33333333,10.5,Enrolled
10.42857143,10.5,Dropout
10.5,10.5,Enrolled
10.5,10.5,Enrolled
10.5,10.5,Dropout
10.66666667,10.5,Dropout
10.8,10.5,Dropout
11,10.5,Dropout
11,10.5,Dropout
11,10.5,Enrolled
11,10.5,Enrolled
11,10.5,Dropout
11,10.5,Enrolled
11,10.5,Enrolled
11.25,10.5,Graduate
11.25,10.5,Graduate
11.25,10.5,Enrolled
11.33333333,10.5,Enrolled
11.6,10.5,Graduate
11.7,10.5,Graduate
11.75,10.5,Enrolled
11.75,10.5,Enrolled
11.75,10.5,Graduate
12,10.5,Dropout
12,10.5,Dropout
12,10.5,Graduate
12.25,10.5,Enrolled
12.33333333,10.5,Dropout
12.33333333,10.5,Enrolled
12.33333333,10.5,Dropout
12.4,10.5,Enrolled
12.5,10.5,Dropout
12.6,10.5,Graduate
13,10.5,Dropout
13.33333333,10.5,Enrolled
11,10.57142857,Graduate
11.4,10.57142857,Graduate
11.66666667,10.57142857,Graduate
12.2,10.57142857,Graduate
10,10.6,Enrolled
10.2,10.6,Enrolled
10.4,10.6,Enrolled
10.5,10.6,Graduate
10.5,10.6,Graduate
10.75,10.6,Graduate
11,10.6,Dropout
11,10.6,Dropout
11,10.6,Graduate
11.16666667,10.6,Enrolled
11.6,10.6,Graduate
11.71428571,10.6,Dropout
11.8,10.6,Graduate
14.66666667,10.6,Dropout
10.66666667,10.64285714,Dropout
11.55,10.64285714,Graduate
0,10.66666667,Dropout
0,10.66666667,Dropout
10.25,10.66666667,Graduate
10.4,10.66666667,Enrolled
10.5,10.66666667,Enrolled
10.5,10.66666667,Dropout
10.66666667,10.66666667,Dropout
10.66666667,10.66666667,Dropout
11,10.66666667,Enrolled
11.2,10.66666667,Graduate
11.2,10.66666667,Enrolled
11.25,10.66666667,Enrolled
11.33333333,10.66666667,Enrolled
11.33333333,10.66666667,Dropout
11.33333333,10.66666667,Enrolled
11.33333333,10.66666667,Enrolled
11.4,10.66666667,Enrolled
11.5,10.66666667,Graduate
11.5,10.66666667,Enrolled
11.6,10.66666667,Graduate
11.8,10.66666667,Enrolled
11.85714286,10.66666667,Graduate
12,10.66666667,Enrolled
12,10.66666667,Enrolled
12,10.66666667,Dropout
12.25,10.66666667,Graduate
12.25,10.66666667,Dropout
12.28571429,10.66666667,Dropout
12.5,10.66666667,Dropout
12.5,10.66666667,Dropout
12.5,10.66666667,Enrolled
12.5,10.66666667,Enrolled
12.83333333,10.66666667,Enrolled
14,10.66666667,Enrolled
14,10.66666667,Dropout
14.8,10.66666667,Dropout
12.30769231,10.69230769,Enrolled
11,10.71428571,Graduate
12.2,10.71428571,Graduate
12.55555556,10.71428571,Enrolled
11.8375,10.74444444,Enrolled
0,10.75,Enrolled
0,10.75,Dropout
0,10.75,Dropout
10,10.75,Dropout
10,10.75,Dropout
10,10.75,Dropout
10,10.75,Dropout
10,10.75,Dropout
10,10.75,Dropout
10.33333333,10.75,Dropout
10.5,10.75,Dropout
10.57142857,10.75,Dropout
11,10.75,Dropout
11.33333333,10.75,Enrolled
11.33333333,10.75,Dropout
11.4,10.75,Graduate
11.5,10.75,Enrolled
11.5,10.75,Graduate
12.25,10.75,Enrolled
13,10.75,Graduate
13.33333333,10.75,Dropout
11.83333333,10.76923077,Dropout
0,10.8,Dropout
10,10.8,Enrolled
10.16666667,10.8,Graduate
10.5,10.8,Graduate
10.5,10.8,Enrolled
10.5,10.8,Enrolled
10.71428571,10.8,Graduate
11,10.8,Graduate
11,10.8,Dropout
11,10.8,Enrolled
11.25,10.8,Graduate
11.33333333,10.8,Graduate
11.35714286,10.8,Graduate
11.5,10.8,Graduate
11.5,10.8,Graduate
11.75,10.8,Enrolled
12,10.8,Dropout
12,10.8,Graduate
12,10.8,Enrolled
12,10.8,Enrolled
12.25,10.8,Graduate
12.5,10.8,Dropout
12.8,10.8,Graduate
13.5,10.8,Enrolled
11.63636364,10.81818182,Dropout
10.66666667,10.83333333,Graduate
11,10.83333333,Enrolled
11,10.83333333,Enrolled
11,10.83333333,Dropout
11.5,10.83333333,Graduate
11.5,10.83333333,Graduate
12,10.83333333,Graduate
12.14285714,10.83333333,Graduate
11,10.85714286,Dropout
11.66666667,10.85714286,Graduate
11.85714286,10.85714286,Enrolled
12.4,10.875,Graduate
11.25,10.88888889,Graduate
11.33333333,10.88888889,Graduate
11.61538462,10.88888889,Graduate
11.7,10.9,Dropout
11.14285714,10.92307692,Graduate
11.45454545,10.92307692,Graduate
12.18181818,10.92307692,Graduate
11.83333333,10.92857143,Dropout
10.98333333,10.98333333,Graduate
12.3,10.98571429,Graduate
0,11,Dropout
0,11,Enrolled
0,11,Dropout
0,11,Dropout
0,11,Dropout
0,11,Dropout
0,11,Dropout
0,11,Dropout
0,11,Dropout
0,11,Dropout
0,11,Dropout
0,11,Dropout
0,11,Enrolled
0,11,Dropout
0,11,Dropout
0,11,Dropout
0,11,Dropout
0,11,Enrolled
0,11,Dropout
0,11,Dropout
0,11,Dropout
0,11,Enrolled
0,11,Dropout
0,11,Dropout
0,11,Dropout
0,11,Enrolled
0,11,Dropout
0,11,Dropout
0,11,Dropout
10,11,Enrolled
10,11,Enrolled
10,11,Dropout
10,11,Dropout
10,11,Enrolled
10,11,Enrolled
10,11,Enrolled
10,11,Dropout
10.16666667,11,Enrolled
10.33333333,11,Enrolled
10.33333333,11,Dropout
10.5,11,Enrolled
10.5,11,Dropout
10.5,11,Dropout
10.5,11,Dropout
10.6,11,Dropout
10.66666667,11,Dropout
10.66666667,11,Enrolled
10.66666667,11,Dropout
10.66666667,11,Dropout
10.75,11,Graduate
10.75,11,Enrolled
10.75,11,Graduate
10.83333333,11,Graduate
10.83333333,11,Enrolled
11,11,Graduate
11,11,Dropout
11,11,Enrolled
11,11,Graduate
11,11,Graduate
11,11,Enrolled
11,11,Enrolled
11,11,Dropout
11,11,Dropout
11,11,Graduate
11.16666667,11,Graduate
11.2,11,Enrolled
11.2,11,Enrolled
11.2,11,Graduate
11.2,11,Graduate
11.25,11,Dropout
11.25,11,Graduate
11.25,11,Dropout
11.25,11,Enrolled
11.25,11,Graduate
11.33333333,11,Enrolled
11.33333333,11,Dropout
11.33333333,11,Graduate
11.36363636,11,Dropout
11.4,11,Enrolled
11.4,11,Graduate
11.4,11,Enrolled
11.4,11,Graduate
11.42857143,11,Dropout
11.42857143,11,Enrolled
11.5,11,Dropout
11.5,11,Graduate
11.5,11,Enrolled
11.5,11,Enrolled
11.5,11,Dropout
11.5,11,Dropout
11.5,11,Graduate
11.5,11,Dropout
11.57142857,11,Enrolled
11.6,11,Graduate
11.6,11,Graduate
11.66666667,11,Graduate
11.66666667,11,Graduate
11.66666667,11,Dropout
11.66666667,11,Enrolled
11.7,11,Graduate
11.75,11,Enrolled
11.75,11,Dropout
11.8,11,Graduate
11.83333333,11,Graduate
12,11,Graduate
12,11,Enrolled
12,11,Enrolled
12,11,Dropout
12,11,Enrolled
12,11,Dropout
12,11,Enrolled
12,11,Enrolled
12.16666667,11,Graduate
12.2,11,Dropout
12.25,11,Dropout
12.4,11,Graduate
12.5,11,Enrolled
12.5,11,Enrolled
12.5,11,Enrolled
12.6,11,Graduate
12.66666667,11,Enrolled
12.66666667,11,Dropout
12.75,11,Dropout
12.75,11,Graduate
12.8,11,Graduate
13,11,Dropout
13,11,Graduate
13.125,11,Graduate
13.16666667,11,Graduate
13.2,11,Enrolled
13.2,11,Graduate
13.375,11,Enrolled
13.4,11,Graduate
13.5,11,Dropout
13.8,11,Graduate
13.85714286,11,Enrolled
14,11,Graduate
15.4,11,Graduate
11.33333333,11.07142857,Dropout
11.85714286,11.125,Graduate
11.25,11.14285714,Graduate
11.375,11.14285714,Graduate
11.57142857,11.14285714,Graduate
12,11.14285714,Graduate
12.28571429,11.14285714,Graduate
12.81428571,11.15,Enrolled
11.425,11.15555556,Graduate
10.57142857,11.16666667,Enrolled
10.6,11.16666667,Graduate
10.75,11.16666667,Enrolled
10.8,11.16666667,Enrolled
11,11.16666667,Graduate
11,11.16666667,Dropout
11.33333333,11.16666667,Graduate
11.5,11.16666667,Enrolled
11.66666667,11.16666667,Enrolled
11.66666667,11.16666667,Graduate
11.8,11.16666667,Enrolled
12.16666667,11.16666667,Graduate
12.4,11.16666667,Graduate
13.4,11.16666667,Graduate
14.66666667,11.16666667,Enrolled
10,11.2,Enrolled
10,11.2,Dropout
10.75,11.2,Dropout
11,11.2,Graduate
11.2,11.2,Enrolled
11.25,11.2,Dropout
11.25,11.2,Graduate
11.25,11.2,Dropout
11.58333333,11.2,Enrolled
11.6,11.2,Graduate
11.66666667,11.2,Dropout
11.75,11.2,Enrolled
11.8,11.2,Graduate
12,11.2,Graduate
12,11.2,Graduate
12,11.2,Enrolled
12,11.2,Graduate
12.14,11.2,Enrolled
12.42857143,11.2,Graduate
12.5,11.2,Graduate
12.6,11.2,Dropout
12.8,11.2,Graduate
13.125,11.2,Dropout
13.2,11.2,Graduate
12.77777778,11.23076923,Graduate
0,11.25,Dropout
0,11.25,Dropout
0,11.25,Dropout
0,11.25,Dropout
0,11.25,Enrolled
10,11.25,Enrolled
10.16666667,11.25,Dropout
10.2,11.25,Dropout
10.33333333,11.25,Graduate
10.33333333,11.25,Dropout
10.4,11.25,Graduate
10.42857143,11.25,Enrolled
10.5,11.25,Enrolled
10.5,11.25,Enrolled
10.5,11.25,Dropout
10.83333333,11.25,Enrolled
10.85714286,11.25,Dropout
11,11.25,Dropout
11,11.25,Dropout
11,11.25,Graduate
11,11.25,Enrolled
11,11.25,Enrolled
11,11.25,Enrolled
11.2,11.25,Dropout
11.33333333,11.25,Graduate
11.33333333,11.25,Dropout
11.33333333,11.25,Dropout
11.33333333,11.25,Dropout
11.4,11.25,Graduate
11.5,11.25,Enrolled
11.71428571,11.25,Enrolled
11.8,11.25,Dropout
12,11.25,Dropout
12,11.25,Graduate
12,11.25,Enrolled
12,11.25,Enrolled
12,11.25,Enrolled
12.2,11.25,Enrolled
12.25,11.25,Enrolled
12.33333333,11.25,Dropout
12.5,11.25,Dropout
12.5,11.25,Graduate
13,11.25,Enrolled
13,11.25,Graduate
13.75,11.25,Graduate
12,11.27272727,Graduate
0,11.28571429,Dropout
10.33333333,11.28571429,Dropout
11.77777778,11.28571429,Enrolled
11.85714286,11.28571429,Graduate
12.2,11.28571429,Enrolled
12.25,11.28571429,Enrolled
12.33333333,11.28571429,Enrolled
13,11.28571429,Dropout
13.5,11.28571429,Graduate
12.6,11.29444444,Graduate
11.3,11.3,Graduate
11.325,11.325,Dropout
11.32857143,11.32857143,Dropout
0,11.33333333,Dropout
0,11.33333333,Dropout
0,11.33333333,Dropout
10.5,11.33333333,Enrolled
10.5,11.33333333,Graduate
10.57142857,11.33333333,Enrolled
10.66666667,11.33333333,Enrolled
10.83333333,11.33333333,Graduate
10.83333333,11.33333333,Enrolled
10.83333333,11.33333333,Graduate
11,11.33333333,Dropout
11,11.33333333,Enrolled
11,11.33333333,Enrolled
11.14285714,11.33333333,Dropout
11.2,11.33333333,Graduate
11.25,11.33333333,Dropout
11.33333333,11.33333333,Dropout
11.33333333,11.33333333,Graduate
11.33333333,11.33333333,Enrolled
11.33333333,11.33333333,Graduate
11.33333333,11.33333333,Graduate
11.4,11.33333333,Dropout
11.5,11.33333333,Graduate
11.5,11.33333333,Enrolled
11.5,11.33333333,Dropout
11.5,11.33333333,Dropout
11.57142857,11.33333333,Graduate
