Marital status,Daytime/evening attendance,Previous qualification,Nationality,Mother qualification,Father qualification,Tuition fees up to date,Gender,Scholarship holder,International,Age at enrollment,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Target
1,1,1,1,13,28,1,0,0,0,18,12.914285714285713,12.914285714285713,Graduate
1,1,1,1,3,14,1,0,1,0,18,13.833333333333334,14.166666666666666,Graduate
1,1,1,1,13,1,1,0,0,0,19,13.857142857142858,13.4,Graduate
1,1,12,1,3,14,1,0,1,0,36,13.714285714285714,12.8,Dropout
1,1,1,1,23,1,1,0,1,0,18,12.642857142857142,12.642857142857142,Graduate
1,1,1,1,22,27,1,0,1,0,18,12.916666666666666,12.916666666666666,Graduate
1,1,1,1,1,3,1,0,1,0,20,15.625,15.857142857142858,Graduate
1,0,1,1,22,27,1,0,1,0,26,0.0,0.0,Dropout
1,1,1,1,1,1,1,0,0,0,21,11.714285714285714,12.0,Graduate
1,1,15,1,1,1,1,0,0,0,25,12.125,13.3125,Enrolled
1,1,1,1,13,3,1,0,1,0,19,11.6,11.6,Graduate
1,0,1,1,13,27,1,0,0,0,24,10.0,0.0,Dropout
1,0,1,1,1,14,1,0,1,0,27,10.0,0.0,Dropout
1,1,1,1,13,27,1,0,0,0,21,0.0,13.5,Dropout
1,1,1,1,23,28,1,0,1,0,18,13.0,12.333333333333334,Graduate
2,1,1,1,22,27,1,0,1,0,19,13.333333333333334,14.5,Graduate
1,1,1,1,1,1,1,0,0,0,18,11.25,12.5,Dropout
1,1,1,1,13,1,1,0,1,0,19,13.85,12.19285714285714,Graduate
1,1,1,1,1,28,1,0,1,0,19,13.741666666666667,14.9125,Graduate
2,0,17,1,25,5,1,0,0,0,33,15.333333333333334,15.8,Graduate
2,1,3,1,1,4,1,0,0,0,45,11.0,13.8,Graduate
1,1,1,1,1,1,1,0,1,0,20,12.0,12.857142857142858,Graduate
1,1,1,1,19,24,1,0,0,0,28,0.0,0.0,Dropout
1,1,1,1,1,1,1,0,1,0,19,11.571428571428571,11.571428571428571,Graduate
1,1,1,1,1,27,1,0,0,0,18,12.857142857142858,12.666666666666666,Graduate
1,1,3,1,13,14,1,0,0,0,38,0.0,0.0,Dropout
1,1,1,1,1,3,1,0,0,0,19,13.0,13.2,Graduate
1,1,1,1,1,27,1,0,1,0,21,11.0,12.0,Graduate
1,1,1,1,22,1,1,0,0,0,21,12.0,15.0,Dropout
1,1,1,1,23,27,1,0,1,0,22,12.6,13.0,Graduate
1,1,1,1,13,14,1,0,1,0,18,13.4,13.166666666666666,Graduate
1,1,1,1,22,27,1,0,1,0,18,11.333333333333334,11.571428571428571,Graduate
1,1,1,1,13,1,0,0,0,0,25,13.5,14.25,Dropout
1,1,12,1,13,14,0,0,0,0,24,11.75,10.333333333333334,Dropout
1,1,1,1,3,1,1,0,0,0,19,12.471428571428572,11.4625,Enrolled
1,1,1,1,3,3,1,0,0,0,24,12.909090909090908,13.555555555555555,Enrolled
1,1,1,1,22,14,1,0,1,0,20,11.6,13.6,Graduate
1,1,1,1,22,1,0,0,0,0,25,0.0,0.0,Dropout
1,1,1,1,23,14,1,0,1,0,20,12.9,12.363636363636363,Graduate
1,1,3,1,13,28,1,0,0,0,23,13.22,13.22,Graduate
1,1,1,1,13,27,1,0,1,0,19,13.151428571428571,13.151428571428571,Graduate
1,1,14,1,22,27,0,0,0,0,29,12.75,11.333333333333334,Dropout
1,1,1,1,13,27,1,0,0,0,21,11.333333333333334,12.25,Graduate
1,1,1,1,13,1,1,0,1,0,18,13.25,14.142857142857142,Graduate
1,1,1,1,13,28,1,0,0,0,19,12.4,12.4,Enrolled
1,1,1,1,23,27,1,0,1,0,18,15.0,12.833333333333334,Dropout
1,1,1,1,7,14,1,0,0,0,19,14.4,13.0,Graduate
1,1,1,1,22,27,1,0,0,0,18,11.0,0.0,Enrolled
1,1,1,1,1,1,1,0,0,0,18,12.4,10.8,Graduate
2,1,12,1,23,27,0,0,1,0,37,16.0,0.0,Dropout
1,0,15,1,22,27,1,0,0,0,29,13.571428571428571,12.333333333333334,Graduate
1,1,1,1,22,27,1,0,0,0,18,11.833333333333334,12.5,Enrolled
1,1,1,1,1,1,1,0,1,0,19,11.666666666666666,12.666666666666666,Graduate
1,1,1,1,1,1,0,0,0,0,22,11.833333333333334,13.0,Dropout
1,1,1,1,22,28,1,0,1,0,20,11.166666666666666,10.6,Graduate
1,0,1,1,22,27,1,0,0,0,34,0.0,0.0,Dropout
1,1,1,1,22,28,0,0,0,0,30,11.75,12.166666666666666,Dropout
1,1,1,1,1,1,1,0,0,0,18,14.0,14.0,Graduate
1,1,1,1,23,14,1,0,0,0,18,12.833333333333334,12.0,Graduate
1,1,1,1,3,1,1,0,0,0,18,12.25,11.666666666666666,Graduate
1,1,1,1,4,1,1,0,0,0,18,14.828571428571427,14.828571428571427,Graduate
1,1,1,1,23,28,1,0,1,0,19,11.4,12.8,Graduate
1,1,1,1,22,27,1,0,1,0,19,13.0,12.5,Graduate
1,1,1,1,1,1,1,0,1,0,18,13.671428571428573,13.671428571428573,Graduate
1,1,14,1,22,28,1,0,1,0,21,12.666666666666666,12.8,Graduate
1,1,1,1,1,14,0,0,0,0,20,10.0,13.0,Dropout
1,1,1,1,10,14,1,0,0,0,20,13.5,12.333333333333334,Graduate
1,1,1,1,5,1,1,0,0,0,19,12.67,13.55,Graduate
1,1,1,1,1,28,1,0,0,0,20,14.5,15.428571428571429,Graduate
1,1,1,1,10,1,1,0,0,0,18,13.685714285714283,15.3875,Graduate
1,1,1,1,22,28,1,0,0,0,20,11.0,10.666666666666666,Dropout
2,1,3,1,5,4,0,0,0,0,29,11.555555555555555,13.2,Dropout
1,1,1,1,13,14,1,0,1,0,18,13.79714285714286,13.775,Enrolled
1,1,1,1,13,14,1,0,1,0,20,14.00375,13.812857142857142,Graduate
1,1,1,1,23,27,1,0,1,0,22,12.0,11.4,Graduate
4,0,1,1,24,14,1,0,1,0,47,14.166666666666666,14.166666666666666,Graduate
2,0,1,1,22,27,1,0,0,0,31,14.0,13.8,Graduate
1,1,1,1,13,27,1,0,1,0,21,13.8,12.833333333333334,Graduate
1,0,1,1,23,28,1,0,0,0,21,12.8,11.857142857142858,Graduate
2,1,9,1,1,1,1,0,0,0,24,12.166666666666666,13.833333333333334,Graduate
1,1,1,1,4,27,1,0,0,0,18,12.5,12.333333333333334,Enrolled
1,0,11,1,19,1,1,0,0,0,32,12.0,11.5,Graduate
1,0,1,1,3,1,1,0,1,0,19,10.833333333333334,11.5,Graduate
1,1,1,1,3,3,1,0,0,0,24,13.385,13.385,Graduate
1,1,1,1,13,14,1,0,0,0,19,15.666666666666666,14.5,Graduate
1,1,14,1,13,27,1,0,1,0,19,14.333333333333334,13.833333333333334,Graduate
1,1,14,1,22,27,1,0,0,0,24,11.428571428571429,13.0,Enrolled
1,1,1,1,13,14,1,0,1,0,18,11.666666666666666,11.666666666666666,Graduate
1,1,1,1,23,27,1,0,1,0,19,12.0,11.333333333333334,Dropout
2,1,1,1,3,28,1,0,1,0,19,14.725714285714288,14.725714285714288,Graduate
1,1,1,1,13,28,1,0,1,0,18,14.166666666666666,13.666666666666666,Graduate
1,1,1,1,1,1,1,0,0,0,18,11.571428571428571,12.333333333333334,Graduate
1,1,1,1,1,1,1,0,0,0,20,12.5,13.1375,Graduate
1,1,1,1,13,28,1,0,0,0,18,12.86,12.86,Graduate
1,1,1,1,23,28,1,0,0,0,18,12.25,13.714285714285714,Graduate
1,1,1,1,23,27,1,0,1,0,21,12.0,12.2,Graduate
1,1,1,1,13,14,1,0,1,0,18,15.116666666666667,16.168888888888887,Graduate
1,1,1,1,13,14,0,0,0,0,18,12.5,10.25,Dropout
1,1,1,1,1,9,1,0,0,0,19,0.0,0.0,Dropout
1,1,1,1,1,14,1,0,0,0,19,11.0,11.0,Enrolled
1,1,1,1,1,14,1,0,0,0,18,11.875,14.6,Graduate
1,1,3,1,3,1,1,0,0,0,34,11.0,0.0,Dropout
1,1,1,1,9,9,1,0,0,0,19,15.2,13.2,Graduate
1,1,14,1,22,27,0,0,0,0,19,11.6,11.0,Dropout
1,1,1,1,3,14,1,0,0,0,26,14.833333333333334,15.142857142857142,Graduate
1,1,1,1,19,24,1,0,0,0,21,11.333333333333334,11.333333333333334,Dropout
1,1,1,1,13,14,1,0,1,0,18,11.2,11.8,Graduate
1,1,1,1,23,28,1,0,1,0,20,13.4,13.666666666666666,Graduate
1,1,1,1,1,1,1,0,0,0,25,10.5,0.0,Dropout
1,1,1,1,1,28,1,0,0,0,18,16.2,16.4,Graduate
1,1,1,1,13,14,1,0,1,0,18,14.542857142857144,14.88181818181818,Graduate
1,1,1,1,26,14,1,0,0,0,19,13.694285714285714,14.355555555555554,Graduate
1,1,1,1,13,28,1,0,1,0,18,11.285714285714286,11.857142857142858,Graduate
1,1,1,1,23,28,1,0,0,0,20,11.757142857142856,13.083333333333334,Enrolled
1,1,15,1,13,14,0,0,0,0,26,0.0,0.0,Dropout
1,1,1,1,22,27,1,0,1,0,19,13.058571428571428,13.058571428571428,Graduate
1,1,1,1,1,1,1,0,0,0,19,14.3,14.055555555555555,Graduate
1,1,1,1,22,27,1,0,0,0,19,11.8,12.0,Graduate
1,1,1,1,1,14,1,0,0,0,19,10.333333333333334,13.0,Enrolled
1,1,1,1,13,14,1,0,0,0,18,10.571428571428571,11.666666666666666,Graduate
1,1,6,1,1,27,1,0,0,0,19,13.333333333333334,13.333333333333334,Graduate
1,1,1,1,1,1,1,0,0,0,18,11.857142857142858,11.0,Graduate
1,1,1,1,2,14,1,0,0,0,18,12.6,11.4,Enrolled
1,1,1,1,13,28,1,0,0,0,18,14.0,11.6,Enrolled
1,1,1,1,1,28,1,0,0,0,18,12.0,12.666666666666666,Enrolled
1,1,14,1,13,27,1,0,0,0,26,0.0,0.0,Dropout
1,1,1,1,23,28,1,0,0,0,20,12.0,13.0,Graduate
1,0,1,1,22,28,1,0,0,0,19,12.666666666666666,11.666666666666666,Graduate
1,1,1,1,19,27,1,0,1,0,18,12.166666666666666,13.666666666666666,Graduate
1,1,14,1,23,27,1,0,0,0,19,13.333333333333334,14.666666666666666,Graduate
1,1,15,1,26,3,1,0,0,0,40,15.0,14.571428571428571,Graduate
1,1,1,1,23,28,1,0,1,0,18,13.39125,13.39125,Graduate
1,1,1,1,3,1,1,0,0,0,19,12.166666666666666,12.428571428571429,Graduate
1,1,1,1,2,7,1,0,0,0,18,11.25,12.5,Graduate
1,1,1,1,1,2,1,0,0,0,19,12.0,12.0,Enrolled
1,1,1,1,3,3,1,0,0,0,18,0.0,0.0,Dropout
2,0,1,1,22,27,1,0,0,0,33,12.833333333333334,12.857142857142858,Graduate
1,1,3,1,3,3,1,0,0,0,35,14.0,13.1,Graduate
1,1,1,1,22,28,1,0,0,0,26,13.0,12.0,Enrolled
1,1,1,1,13,14,1,0,0,0,18,13.5,12.5,Graduate
1,1,1,1,22,27,1,0,0,0,36,10.692307692307692,12.307692307692308,Enrolled
4,0,1,1,22,27,1,0,0,0,39,11.0,11.666666666666666,Graduate
2,1,1,1,22,27,1,0,0,0,44,13.0,13.833333333333334,Graduate
1,0,1,1,3,1,1,0,0,0,20,12.0,11.25,Enrolled
1,1,1,1,13,14,1,0,0,0,24,12.6,11.5,Dropout
1,1,1,1,13,14,1,0,1,0,20,13.666666666666666,13.333333333333334,Graduate
1,1,1,1,1,1,0,0,0,0,19,0.0,0.0,Dropout
2,1,1,1,22,28,1,0,1,0,18,14.2,14.2,Graduate
1,1,1,1,13,14,0,0,0,0,22,11.0,0.0,Dropout
1,1,1,1,13,1,1,0,0,0,18,15.0,16.428571428571427,Graduate
1,1,12,1,23,27,1,0,0,0,24,12.585714285714284,13.44285714285714,Graduate
1,0,1,1,22,27,1,0,0,0,33,0.0,0.0,Dropout
1,1,1,1,22,27,1,0,1,0,30,0.0,0.0,Enrolled
1,1,17,1,3,29,1,0,0,0,26,0.0,0.0,Dropout
1,1,1,1,13,28,1,0,0,0,18,11.666666666666666,11.833333333333334,Graduate
